date,mean,std,low_thresh,high_thresh,fwd_slope,signal
1990-01-03,,,,,,0
1990-01-31,,,,,,0
1990-02-28,,,,,,0
1990-03-28,,,,,,0
1990-04-25,,,,,,0
1990-05-23,,,,,,0
1990-06-20,,,,,,0
1990-07-18,,,,,,0
1990-08-15,,,,,,0
1990-09-12,,,,,,0
1990-10-10,,,,,,0
1990-11-07,,,,,,0
1990-12-05,,,,,,0
1991-01-02,,,,,,0
1991-01-30,,,,,,0
1991-02-27,,,,,,0
1991-03-27,,,,,,0
1991-04-24,,,,,,0
1991-05-22,,,,,,0
1991-06-19,,,,,,0
1991-07-17,,,,,,0
1991-08-14,,,,,,0
1991-09-11,,,,,,0
1991-10-09,,,,,,0
1991-11-06,,,,,,0
1991-12-04,,,,,,0
1992-01-01,,,,,,0
1992-01-29,,,,,,0
1992-02-26,,,,,,0
1992-03-25,,,,,,0
1992-04-22,,,,,,0
1992-05-20,,,,,,0
1992-06-17,,,,,,0
1992-07-15,,,,,,0
1992-08-12,,,,,,0
1992-09-09,,,,,,0
1992-10-07,,,,,,0
1992-11-04,,,,,,0
1992-12-02,,,,,,0
1992-12-30,,,,,,0
1993-01-27,,,,,,0
1993-02-24,,,,,,0
1993-03-24,,,,,,0
1993-04-21,,,,,,0
1993-05-19,,,,,,0
1993-06-16,,,,,,0
1993-07-14,,,,,,0
1993-08-11,,,,,,0
1993-09-08,,,,,,0
1993-10-06,,,,,,0
1993-11-03,,,,,-0.023173193912354,0
1993-12-01,,,,,-0.019629514903417307,0
1993-12-29,,,,,-0.019649921793933503,0
1994-01-26,,,,,-0.01888123200736299,0
1994-02-23,,,,,-0.0195347163895842,0
1994-03-23,,,,,-0.016081804373666395,0
1994-04-20,,,,,-0.013703821583408209,0
1994-05-18,,,,,-0.009611120497494699,0
1994-06-15,,,,,-0.009698241443556105,0
1994-07-13,,,,,-0.00971711980525801,0
1994-08-10,,,,,-0.008214284206585099,0
1994-09-07,,,,,-0.007993155549134504,0
1994-10-05,,,,,-0.009612729860799696,0
1994-11-02,,,,,-0.007342652294098806,0
1994-11-30,,,,,-0.0042604569105419016,0
1994-12-28,,,,,-0.0009603463362065079,0
1995-01-25,,,,,0.003412276926325994,0
1995-02-22,,,,,0.0020630053320210007,0
1995-03-22,,,,,-0.004049875663557204,0
1995-04-19,,,,,-0.006691338552470602,0
1995-05-17,,,,,-0.0090247420367639,0
1995-06-14,,,,,-0.010000953470214104,0
1995-07-12,,,,,-0.013530188114410702,0
1995-08-09,,,,,-0.012591807185785502,0
1995-09-06,,,,,-0.011393641947962892,0
1995-10-04,-0.010439488962614728,0.006634784362375788,-0.007122096781426834,-0.013756881143802621,-0.011555136447763105,1
1995-11-01,-0.009953382295108967,0.006106478745215646,-0.006900142922501144,-0.013006621667716791,-0.010534420557204195,1
1995-11-29,-0.00966977978911973,0.005802791365694388,-0.006768384106272536,-0.012571175471966924,-0.012255849747697105,1
1995-12-27,-0.00946273162207987,0.0055216782175001936,-0.006701892513329774,-0.012223570730829967,-0.014266669450897197,1
1996-01-24,-0.00926237294529479,0.005254287878495629,-0.006635229006046975,-0.011889516884542605,-0.013671906410950903,1
1996-02-21,-0.009097282547141513,0.004978831909075061,-0.006607866592603982,-0.011586698501679043,-0.015242366037599,1
1996-03-20,-0.009144125544774605,0.005052360246445225,-0.006617945421551993,-0.011670305667997217,-0.017299722312126807,1
1996-04-17,-0.009003648126572618,0.004970625130678489,-0.006518335561233374,-0.011488960691911862,-0.0100514087101565,1
1996-05-15,-0.008953873630785137,0.004970778310136507,-0.0064684844757168835,-0.011439262785853391,-0.008316983607020198,1
1996-06-12,-0.008863451330215506,0.004978073775644747,-0.006374414442393133,-0.011352488218037879,-0.007347261628745702,1
1996-07-10,-0.008667998675629935,0.005042560072009787,-0.006146718639625042,-0.011189278711634828,-0.004635350786033193,-1
1996-08-07,-0.008522829905331843,0.005110022984805657,-0.005967818412929015,-0.011077841397734671,-0.004439896178834696,-1
1996-09-04,-0.008482785716276765,0.0051184122987275186,-0.005923579566913006,-0.011041991865640524,-0.006952006633702504,1
1996-10-02,-0.00832183877861859,0.00514717158364581,-0.005748252986795684,-0.010895424570441495,-0.005428109481687107,-1
1996-10-30,-0.008328458795432278,0.005145972377618933,-0.005755472606622811,-0.010901444984241743,-0.007514772731254699,1
1996-11-27,-0.008498430145863097,0.005078776961099195,-0.0059590416653135,-0.011037818626412694,-0.008679712021743204,1
1996-12-25,-0.008815500191132492,0.004841119186598396,-0.006394940597833294,-0.01123605978443169,-0.009204167513210793,1
1997-01-22,-0.009194419668004581,0.004187142336680875,-0.007100848499664143,-0.011287990836345019,-0.006439629472348309,-1
1997-02-19,-0.009515015668690861,0.0035633677797796462,-0.007733331778801038,-0.011296699558580684,-0.006272490685822307,-1
1997-03-19,-0.009620690503043521,0.003433173257975781,-0.00790410387405563,-0.011337277132031412,-0.006797421356726299,-1
1997-04-16,-0.009559548901235993,0.003500916060721069,-0.007809090870875459,-0.011310006931596528,-0.0051016569054748995,-1
1997-05-14,-0.009307226218157513,0.0037672843971077227,-0.007423584019603652,-0.011190868416711373,-0.002464352276723411,-1
1997-06-11,-0.009075014866456368,0.003906320089773121,-0.007121854821569807,-0.011028174911342928,-0.003963458325984298,-1
1997-07-09,-0.00869211719794388,0.003939922835189306,-0.006722155780349227,-0.010662078615538532,-0.003574848733086,-1
1997-08-06,-0.008393745403115624,0.003926507515840658,-0.006430491645195295,-0.010356999161035952,-0.0048341405202509125,-1
1997-09-03,-0.008092350540954902,0.003987308945216095,-0.006098696068346855,-0.01008600501356295,-0.0035573755317841044,-1
1997-10-01,-0.007819994795453306,0.003983162504104752,-0.0058284135434009295,-0.009811576047505682,-0.004473887064721599,-1
1997-10-29,-0.0076119674675513135,0.00397696111083073,-0.005623486912135949,-0.009600448022966678,-0.005125710031752398,-1
1997-11-26,-0.007336263469438651,0.0038896592344708587,-0.005391433852203222,-0.00928109308667408,-0.0050875457967679005,-1
1997-12-24,-0.006920519820627328,0.0036919256435383927,-0.005074556998858132,-0.008766482642396524,-0.0034573345818028,-1
1998-01-21,-0.006560693859219563,0.0034559605708748644,-0.004832713573782131,-0.008288674144656996,-0.004316431414348995,-1
1998-02-18,-0.006275103582934082,0.0029844791868097833,-0.00478286398952919,-0.007767343176338973,-0.007817018854176495,1
1998-03-18,-0.005945875842552254,0.002043450536928055,-0.004924150574088227,-0.006967601111016282,-0.0087398010621993,1
1998-04-15,-0.005813523507313478,0.001871072387628428,-0.004877987313499264,-0.0067490597011276915,-0.006610247993948291,1
1998-05-13,-0.005713017705006319,0.0018000542187609036,-0.004812990595625867,-0.006613044814386771,-0.0057038327470341,1
1998-06-10,-0.005679175700129982,0.0017762139046817239,-0.00479106874778912,-0.006567282652470844,-0.006467369501960904,1
1998-07-08,-0.0056712391201393896,0.001781517642035373,-0.004780480299121703,-0.006561997941157076,-0.004428999706277803,-1
1998-08-05,-0.005697707768416643,0.0017675488979554746,-0.004813933319438905,-0.00658148221739438,-0.005128081034043296,1
1998-09-02,-0.0056617850160857975,0.0017504457403193752,-0.00478656214592611,-0.006537007886245485,-0.0060180150731004994,1
1998-09-30,-0.005829161202082316,0.001926419578237345,-0.004865951412963644,-0.006792370991200989,-0.009779890317596601,1
1998-10-28,-0.006303657258477089,0.0033508982251887814,-0.004628208145882698,-0.00797910637107148,-0.019851670197518802,1
1998-11-25,-0.00687752995279392,0.004756814653789253,-0.004499122625899294,-0.009255937279688547,-0.0236004020739808,1
1998-12-23,-0.007084193761266705,0.004973718319750871,-0.00459733460139127,-0.00957105292114214,-0.014577426533503204,1
1999-01-20,-0.007439471697160073,0.005248174704735923,-0.004815384344792112,-0.010063559049528034,-0.0156768558055759,1
1999-02-17,-0.0077606748447097635,0.005426429098169336,-0.005047460295625096,-0.010473889393794431,-0.0146237725221142,1
1999-03-17,-0.007965124239561193,0.005488469101312484,-0.005220889688904951,-0.010709358790217435,-0.012113105622863496,1
1999-04-14,-0.008175478608823415,0.005479132494683413,-0.0054359123614817085,-0.010915044856165122,-0.010570870506292691,1
1999-05-12,-0.008485729905548302,0.005370104839832382,-0.0058006774856321115,-0.011170782325464493,-0.010530885991570496,1
1999-06-09,-0.0086712041576135,0.005290350940214631,-0.006026028687506185,-0.011316379627720816,-0.008785788879679408,1
1999-07-07,-0.008680685777103974,0.005281064415187624,-0.006040153569510162,-0.011321217984697787,-0.0038213708398383006,-1
1999-08-04,-0.00857855418068751,0.005383119886754776,-0.0058869942373101225,-0.011270114124064898,-0.0021787190134228973,-1
1999-09-01,-0.008589723978818587,0.005372575326730612,-0.005903436315453281,-0.011276011642183894,-0.0038477902831920985,-1
1999-09-29,-0.008640653634512996,0.005338164427079738,-0.005971571420973126,-0.011309735848052865,-0.0057980581127762,-1
1999-10-27,-0.008755662963532862,0.0052914140383573385,-0.006109955944354192,-0.011401369982711532,-0.008115952586268904,1
1999-11-24,-0.008808360570299649,0.005260152035380543,-0.0061782845526093776,-0.01143843658798992,-0.00645768357270439,1
1999-12-22,-0.008877556660134277,0.005198415936548461,-0.006278348691860046,-0.011476764628408508,-0.005256432917503107,-1
2000-01-19,-0.008949728826325953,0.005145313414029632,-0.006377072119311137,-0.011522385533340769,-0.006192907735332598,-1
2000-02-16,-0.008689017892579119,0.005371752007763781,-0.006003141888697228,-0.01137489389646101,-0.0010385345767588011,-1
2000-03-15,-0.008095281757218908,0.0061610544099355005,-0.005014754552251158,-0.011175808962186659,0.006697338457166191,-1
2000-04-12,-0.007662373977279692,0.006645932981092044,-0.004339407486733671,-0.010985340467825714,0.004645354284471312,-1
2000-05-10,-0.00731764062582265,0.006975862404467577,-0.0038297094235888616,-0.01080557182805644,0.003259234390848992,-1
2000-06-07,-0.00669405462438298,0.007737949019682294,-0.002825080114541833,-0.010563029134224126,0.009745866535470507,-1
2000-07-05,-0.006303908758629619,0.008103796240703733,-0.0022520106382777523,-0.010355806878981485,0.005714792803309596,-1
2000-08-02,-0.006036823068020511,0.008257083909630647,-0.0019082811132051878,-0.010165365022835835,0.0018161469217934934,-1
2000-08-30,-0.005750275596917823,0.008386029477123991,-0.0015572608583558278,-0.009943290335479818,0.0014322191755693978,-1
2000-09-27,-0.005418198908689188,0.008391025263829007,-0.0012226862767746845,-0.00961371154060369,-0.0011458964236521,-1
2000-10-25,-0.004922988758154784,0.007868821659098139,-0.000988577928605715,-0.008857399587703853,-0.006976206283624296,1
2000-11-22,-0.004307344919434393,0.006917777491793956,-0.0008484561735374145,-0.007766233665331371,-0.007593662267250605,1
2000-12-20,-0.004064673535867824,0.006648524619342285,-0.000740411226196681,-0.007388935845538966,-0.0082679705607724,1
2001-01-17,-0.003968867986241549,0.0064905702346575835,-0.0007235828689127577,-0.007214153103570341,-0.013185911515292803,1
2001-02-14,-0.00398826204332002,0.006524346429821878,-0.0007260888284090806,-0.007250435258230959,-0.015128018006154396,1
2001-03-14,-0.004077134920049577,0.006653899392952759,-0.0007501852235731973,-0.007404084616525957,-0.014423800417831999,1
2001-04-11,-0.004359683270878,0.007082825853404549,-0.0008182703441757255,-0.007901096197580275,-0.0179171276278317,1
2001-05-09,-0.004689301140989721,0.007564540766415892,-0.0009070307577817745,-0.008471571524197667,-0.019100950614475205,1
