date,mean,std,low_thresh,high_thresh,fwd_curv,signal
1990-01-03,,,,,,0
1990-01-31,,,,,3.1574498552572116e-05,0
1990-02-28,,,,,6.0195893577613544e-05,0
1990-03-28,,,,,3.081580986564704e-05,0
1990-04-25,,,,,3.198568936459906e-05,0
1990-05-23,,,,,2.6549643785860802e-05,0
1990-06-20,,,,,1.2182006843631703e-05,0
1990-07-18,,,,,-3.552774099686477e-06,0
1990-08-15,,,,,4.6104005354318284e-05,0
1990-09-12,,,,,2.917307911458067e-05,0
1990-10-10,,,,,7.208512694074802e-05,0
1990-11-07,,,,,4.3406719691281706e-05,0
1990-12-05,,,,,1.9853031865917322e-05,0
1991-01-02,3.111442697794061e-05,2.1098643431270243e-05,4.166374869357573e-05,2.0565105262305488e-05,4.114819856144151e-06,1
1991-01-30,3.369031028770377e-05,2.3107958020289046e-05,4.5244289297848294e-05,2.213633127755925e-05,6.506098157949323e-05,-1
1991-02-27,3.7123068683704954e-05,2.9737292876540403e-05,5.199171512197516e-05,2.225442224543475e-05,0.00010482175272562889,-1
1991-03-27,3.953798328620562e-05,3.044862206840278e-05,5.476229432040701e-05,2.4313672252004232e-05,6.220969969815575e-05,-1
1991-04-24,4.264274761731888e-05,3.164851789580557e-05,5.846700656522167e-05,2.6818488669416092e-05,7.23476256690713e-05,-1
1991-05-22,4.493148915048846e-05,3.146303132797598e-05,6.066300481447645e-05,2.919997348650047e-05,5.6303283717065405e-05,1
1991-06-19,4.599956723035733e-05,3.0478923507210715e-05,6.123902898396268e-05,3.076010547675197e-05,2.6067021881927036e-05,1
1991-07-17,5.353699569193417e-05,2.9296544949788222e-05,6.818526816682829e-05,3.888872321704006e-05,9.443379590081248e-05,-1
1991-08-14,5.7488916183842594e-05,3.158595242076857e-05,7.328189239422688e-05,4.169593997345831e-05,9.74789717491278e-05,-1
1991-09-11,6.178968857163927e-05,3.121333287119198e-05,7.739635500723525e-05,4.618302213604328e-05,8.508312015593736e-05,-1
1991-10-09,6.0714809892784254e-05,3.1069515567668544e-05,7.624956767661853e-05,4.518005210894998e-05,5.8111704115632824e-05,1
1991-11-06,5.9457578697921163e-05,3.214047673705928e-05,7.55278170664508e-05,4.338734032939152e-05,2.7062714158061592e-05,1
1991-12-04,5.994366345084951e-05,3.1533648749653734e-05,7.571048782567637e-05,4.4176839076022644e-05,2.6172133653985726e-05,1
1992-01-01,6.402403933800054e-05,2.678136728749462e-05,7.741472298174786e-05,5.0633355694253234e-05,5.715970638910765e-05,1
1992-01-29,5.912994905691502e-05,3.190021311689723e-05,7.508005561536364e-05,4.3179842498466405e-05,1.4378079253815916e-06,1
1992-02-26,6.269216949890275e-05,3.91821632728276e-05,8.228325113531655e-05,4.310108786248895e-05,0.00015113061847146927,-1
1992-03-25,6.502567196413884e-05,4.00448576957534e-05,8.504810081201554e-05,4.500324311626214e-05,9.254523174622496e-05,-1
1992-04-22,6.941847730535044e-05,4.386498283830767e-05,9.135096872450428e-05,4.7485985886196605e-05,0.00012945409510482198,-1
1992-05-20,7.59362587037508e-05,4.7866323885417827e-05,9.986942064645971e-05,5.200309676104189e-05,0.0001410344418962702,-1
1992-06-17,8.197068620721173e-05,4.596249656239761e-05,0.00010495193448841053,5.8989437926012924e-05,0.00010451457942691909,1
1992-07-15,8.282607050197409e-05,4.631588548236014e-05,0.00010598401324315415,5.966812776079402e-05,0.000105553791732723,1
1992-08-12,8.312682640385968e-05,4.6431514466209336e-05,0.00010634258363696435,5.991106917075501e-05,0.0001013887984736405,1
1992-09-09,8.518507427424244e-05,4.711350863548502e-05,0.00010874182859198495,6.162831995649993e-05,0.00011184034247091348,-1
1992-10-07,8.569612008894179e-05,4.683055046900848e-05,0.00010911139532344602,6.228084485443756e-05,6.475529970672406e-05,1
1992-11-04,8.908585618027069e-05,4.372465731562731e-05,0.00011094818483808434,6.722352752245704e-05,7.112928334533747e-05,1
1992-12-02,9.560390371934908e-05,3.969451958137815e-05,0.00011545116351003815,7.575664392866001e-05,0.00011090675166200475,1
1992-12-30,0.00010251601205748479,4.0261764781078594e-05,0.00012264689444802407,8.23851296669455e-05,0.00014701711478487214,-1
1993-01-27,0.00011098684058433438,2.643272424886001e-05,0.00012420320270876438,9.777047845990438e-05,0.000111558578774426,1
1993-02-24,0.00010791225705033883,2.354054046317348e-05,0.00011968252728192557,9.614198681875208e-05,0.00011116103252952694,1
1993-03-24,0.00010480941753885708,2.797544894242352e-05,0.00011879714201006883,9.082169306764532e-05,5.2208318096962466e-05,1
1993-04-21,9.909159304389046e-05,3.0038773693194302e-05,0.00011411097989048762,8.407220619729331e-05,5.5122376670255755e-05,1
1993-05-19,9.299893944984637e-05,2.8830824607265358e-05,0.00010741435175347906,7.858352714621369e-05,6.182994517369721e-05,1
1993-06-16,8.808581018873233e-05,3.1975554145149226e-05,0.00010407358726130694,7.209803311615771e-05,4.0643899032436615e-05,1
1993-07-14,8.289788365941643e-05,3.429251590999055e-05,0.00010004414161441172,6.575162570442115e-05,3.811074685161633e-05,1
1993-08-11,7.793090733442308e-05,3.6023638795964805e-05,9.594272673240549e-05,5.991908793644068e-05,3.6818106248726924e-05,1
1993-09-08,7.237004071175024e-05,3.593251045701393e-05,9.033629594025721e-05,5.4403785483243275e-05,3.954907637616644e-05,1
1993-10-06,6.900207779884158e-05,3.8654537425692605e-05,8.832934651168787e-05,4.9674809085995276e-05,2.0971781838911496e-05,1
1993-11-03,6.676555361976843e-05,3.935596233258483e-05,8.644353478606084e-05,4.708757245347601e-05,4.20544690173866e-05,1
1993-12-01,6.221562898131466e-05,3.718687832309132e-05,8.080906814286032e-05,4.3622189819769004e-05,5.175773136210571e-05,1
1993-12-29,5.3746531850367766e-05,2.7553839840085075e-05,6.75234517704103e-05,3.996961193032523e-05,3.691885208256247e-05,1
1994-01-26,4.585837452474017e-05,2.4084171109613568e-05,5.7900460079546954e-05,3.381628896993338e-05,9.01253354126728e-06,1
1994-02-23,3.836039157605829e-05,1.581205945166495e-05,4.626642130189077e-05,3.045436185022582e-05,1.3687254196662464e-05,1
1994-03-23,3.8071320398806595e-05,1.5570301423349166e-05,4.585647111048118e-05,3.0286169687132012e-05,4.845039279269038e-05,-1
1994-04-20,3.826443786072478e-05,1.581308432562247e-05,4.617098002353602e-05,3.0357895697913545e-05,5.763290367519227e-05,-1
1994-05-18,3.9160572211157334e-05,1.7499963958821256e-05,4.791055419056796e-05,3.0410590231746706e-05,7.347969172932035e-05,-1
1994-06-15,4.0120959339964424e-05,1.792556183819998e-05,4.908374025906441e-05,3.1158178420864436e-05,5.31289317069288e-05,-1
1994-07-13,4.089551465644209e-05,1.804858413867797e-05,4.9919806725781074e-05,3.187122258710311e-05,4.8179965965825985e-05,1
1994-08-10,4.264094436550303e-05,1.8706587472725906e-05,5.1994238101865986e-05,3.328765062914008e-05,5.9508692466519143e-05,-1
1994-09-07,4.527474693940946e-05,2.0554132304829907e-05,5.555181309182442e-05,3.4997680786994504e-05,7.378850983695001e-05,-1
1994-10-05,4.441596252738492e-05,2.1846750557488113e-05,5.5339337806128976e-05,3.349258724864086e-05,9.807584482592428e-06,1
1994-11-02,4.495985226912798e-05,2.1871060080539882e-05,5.589538230939792e-05,3.402432222885804e-05,4.912503566004638e-05,1
1994-11-30,4.3115052490346017e-05,2.225790684874923e-05,5.4244005914720636e-05,3.19860990659714e-05,2.777533423794026e-05,1
1994-12-28,3.9978545062186645e-05,2.579558433031259e-05,5.287633722734294e-05,2.708075289703035e-05,-3.855744483509421e-06,1
1995-01-25,3.522427965791778e-05,3.575233883722538e-05,5.310044907653047e-05,1.734811023930509e-05,-5.2792916714227855e-05,1
1995-02-22,3.232748369870322e-05,3.901913734516139e-05,5.183705237128392e-05,1.2817915026122526e-05,-2.3971093273126972e-05,1
1995-03-22,2.8630148165693072e-05,3.9636447110826036e-05,4.844837172110609e-05,8.811924610280054e-06,3.8503086355855254e-07,1
1995-04-19,2.4135776679809868e-05,3.938548769470397e-05,4.382852052716185e-05,4.443032832457884e-06,-7.93925641289445e-07,1
1995-05-17,1.7668203410225672e-05,3.7463851776562284e-05,3.6400129298506815e-05,-1.0637224780554697e-06,-1.0598760775274127e-05,1
1995-06-14,1.4973189147636614e-05,3.592907340658026e-05,3.293772585092674e-05,-2.9913475556535167e-06,1.8093746293271048e-05,1
1995-07-12,1.1784926097843792e-05,3.4549303757189375e-05,2.905957797643848e-05,-5.489725780750896e-06,6.732546318519282e-06,1
1995-08-09,1.2000455345877815e-05,3.487899544781135e-05,2.943995306978349e-05,-5.439042378027862e-06,6.231057269096147e-05,-1
1995-09-06,8.563115631313619e-06,3.0165749729585716e-05,2.3645990496106475e-05,-6.519759233479239e-06,2.9103093547615444e-05,-1
1995-10-04,8.913087136174772e-06,3.0207753025211394e-05,2.401696364878047e-05,-6.190789376430925e-06,1.4357214045787405e-05,1
1995-11-01,6.436347905449828e-06,2.7865127322011297e-05,2.0368911566455476e-05,-7.4962157555558205e-06,1.6927425660622115e-05,1
1995-11-29,6.455510746916261e-06,2.788110611662712e-05,2.039606380522982e-05,-7.4850423113972984e-06,2.80244511770039e-05,-1
1995-12-27,7.862057152323354e-06,2.777861041835672e-05,2.1751362361501715e-05,-6.027248056855006e-06,1.4429358786782768e-05,1
1996-01-24,1.1750069987134661e-05,2.1382431564980542e-05,2.2441285769624934e-05,1.05885420464439e-06,-2.248749861680859e-06,1
1996-02-21,1.5316215422747315e-05,1.8615306110770853e-05,2.4623868478132744e-05,6.008562367361889e-06,2.238879738983751e-05,1
1996-03-20,1.59278261233522e-05,1.8210061628017614e-05,2.5032856937361007e-05,6.822795309343393e-06,8.335969971422098e-06,1
1996-04-17,1.5757629952431638e-05,1.838883351389382e-05,2.4952046709378547e-05,6.563213195484727e-06,-3.006475863256763e-06,1
1996-05-15,1.792381369340598e-05,1.6596648447488974e-05,2.6222137917150466e-05,9.625489469661493e-06,1.756162785739228e-05,1
1996-06-12,1.8558908063096356e-05,1.6760848920324274e-05,2.6939332523258495e-05,1.017848360293422e-05,2.634997309924598e-05,1
1996-07-10,2.0670758149198793e-05,1.687576092412631e-05,2.9108638611261948e-05,1.2232877687135637e-05,3.418659743785095e-05,-1
1996-08-07,1.8232993688047537e-05,1.1921082963617977e-05,2.4193535169856527e-05,1.2272452206238548e-05,3.061963469599517e-05,-1
1996-09-04,1.8260537282505302e-05,1.194867293824195e-05,2.4234873751626277e-05,1.2286200813384327e-05,2.946116027556638e-05,-1
1996-10-02,1.84724211633122e-05,1.1898002886251615e-05,2.442142260643801e-05,1.2523419720186394e-05,1.7111704496277097e-05,1
1996-10-30,1.8332133210077297e-05,1.1928450631385983e-05,2.429635852577029e-05,1.2367907894384305e-05,1.510368226856838e-05,1
1996-11-27,1.9411596029853034e-05,1.3420312866769125e-05,2.6121752463237596e-05,1.2701439596468472e-05,4.205746783408843e-05,-1
1996-12-25,1.947158484766486e-05,1.3397910653075585e-05,2.617054017420265e-05,1.2772629521127066e-05,1.5209213418336558e-05,1
1997-01-22,2.095036468441199e-05,1.1761795177882045e-05,2.6831262273353014e-05,1.5069467095470967e-05,1.697538801603177e-05,1
1997-02-19,2.100008488491059e-05,1.1769746015538864e-05,2.688495789268002e-05,1.5115211877141158e-05,2.303515999631932e-05,1
1997-03-19,2.0714223535484778e-05,1.2142197658078649e-05,2.67853223645241e-05,1.4643124706445454e-05,4.619772428886587e-06,1
1997-04-16,2.3693007459168366e-05,1.047329043520742e-05,2.8929652676772075e-05,1.8456362241564656e-05,3.571771514462983e-05,-1
1997-05-14,2.4048347868361928e-05,1.0325246050053633e-05,2.9210970893388743e-05,1.8885724843335113e-05,2.2181053176908647e-05,1
1997-06-11,2.374121841151814e-05,1.0310449387458077e-05,2.889644310524718e-05,1.8585993717789105e-05,2.2357290160276773e-05,1
1997-07-09,2.214299515718811e-05,1.0165680419585443e-05,2.722583536698083e-05,1.7060154947395388e-05,1.3409695131560503e-05,1
1997-08-06,2.1435469516317258e-05,9.841458650401893e-06,2.6356198841518205e-05,1.651474019111631e-05,2.1421801364674106e-05,1
1997-09-03,2.3735595242467843e-05,1.4339759605100382e-05,3.0905475045018035e-05,1.656571543991765e-05,5.936279471552393e-05,-1
1997-10-01,2.4080673304131507e-05,1.4220557378988798e-05,3.11909519936259e-05,1.6970394614637108e-05,2.159771929790476e-05,1
1997-10-29,2.3795264750648066e-05,1.445110532486019e-05,3.102081741307816e-05,1.656971208821797e-05,1.1393371073283645e-05,1
1997-11-26,2.3461063938119147e-05,1.403790312288439e-05,3.0480015499561344e-05,1.644211237667695e-05,3.771285727121246e-05,-1
1997-12-24,2.268713683492417e-05,1.4788045684953543e-05,3.0081159677400942e-05,1.52931139924474e-05,5.148161076801895e-06,1
1998-01-21,2.2711688264546284e-05,1.4778034243222066e-05,3.0100705386157318e-05,1.532267114293525e-05,1.729455660111926e-05,1
1998-02-18,1.99865183557664e-05,1.7692526936770896e-05,2.8832781824151847e-05,1.1140254887380952e-05,-1.2392048817819205e-05,1
